run_id,target,method,n_samples,mse_norm,mae_norm,mse_orig,mae_orig,train_time,test_time,gpu_samples,gpu_mem_used_mb_mean,gpu_mem_used_mb_var,torch_peak_alloc_mb,torch_peak_reserved_mb,ram_samples,ram_used_mb_mean,ram_used_mb_var,timestamp
6,f_osc,uniform,500,0.04253078252077103,0.1117442324757576,792340264386560.0,6280807.0,293.30820894241333,0.6916055679321289,587,3863.850085178876,6.573777675628662,217.02001953125,286.0,587,6172.656982005962,0.43556053936481476,2026-06-01 01:01:11
6,f_osc,kdtree,500,0.046271197497844696,0.12553702294826508,755758215987200.0,6791708.0,167.3204221725464,2.255923271179199,336,3825.9761904761904,0.0946712028235197,180.53173828125,248.0,336,6278.182500930059,3.2844655960798264,2026-06-01 01:04:01
6,f_osc,uniform,1000,0.006914077326655388,0.0411762036383152,354998709911552.0,2788508.25,270.82238149642944,0.6880321502685547,542,3877.80073800738,10.72044226154685,277.62451171875,300.0,542,6498.980389471863,0.08775477856397629,2026-06-01 01:18:32
6,f_osc,kdtree,1000,0.08539029210805893,0.1720835119485855,1223510152183808.0,8708072.0,294.4035310745239,2.2635562419891357,590,3837.9593220338984,0.4864808972924948,198.33203125,260.0,590,6603.500602489406,11.335727632045746,2026-06-01 01:23:28
7,f_osc,uniform,100,0.3295128643512726,0.3785704970359802,2153165218643968.0,14129408.0,287.52522921562195,0.42354464530944824,576,3837.972222222222,0.22145061753690243,199.55810546875,260.0,576,6546.769700792101,0.07874176651239395,2026-06-01 01:29:18
7,f_osc,kdtree,100,0.20094479620456696,0.28184300661087036,1782217751658496.0,11635833.0,56.21700859069824,2.8038201332092285,114,3832.0,0.0,192.25439453125,254.0,114,6652.664405153509,8.020821176469326,2026-06-01 01:30:17
7,f_osc,uniform,500,0.042056769132614136,0.10809018462896347,1463740826386432.0,7009786.5,288.24725818634033,0.7129426002502441,577,3877.847487001733,6.6873117107898,243.9892578125,300.0,577,6709.312845266464,0.25007130950689316,2026-06-01 01:40:02
7,f_osc,kdtree,500,0.0556010976433754,0.14146293699741364,908550201147392.0,7755203.0,155.66319823265076,2.5703444480895996,312,3839.974358974359,0.10190664231777191,205.18896484375,262.0,312,6818.5447340745195,22.14670480042696,2026-06-01 01:42:40
7,f_osc,uniform,1000,0.007022744044661522,0.0440613329410553,225172418199552.0,2637959.75,295.85730385780334,0.7339138984680176,592,3891.8175675675675,9.818069759756327,302.02490234375,314.0,592,7043.223771378801,0.27141448855400085,2026-06-01 01:57:21
7,f_osc,kdtree,1000,0.07314808666706085,0.16400212049484253,1253911138664448.0,8469739.0,289.0324876308441,2.56259822845459,579,3869.965457685665,0.3442299719899893,222.57568359375,292.0,579,7152.105711625648,0.25958383083343506,2026-06-01 02:02:13
