Model;Function;Dim;N_samples;Ref_Samples;MSE_mean;MSE_std;MAE_mean;MAE_std;TIME_mean;TIME_std
SVR;Zakharov;1;16;4;59939.7728315769;9239.020033256833;164.09288198394802;11.646932933535975;0.0008721113204956055;5.3761031782125274e-05
SVR;Zakharov;1;32;5;55183.01928358547;7106.103494281516;153.33680871460783;3.616629139179011;0.0009063243865966797;7.574590152196643e-05
ANN;Zakharov;2;4;1;134615209.0;233858748.69600847;6486.36796875;5685.404587580884;4.260814154148102;0.7625970342663206
ANN;Zakharov;2;16;2;32512484.6;15815944.899560317;2447.1240661621096;541.4716223202219;4.526321530342102;0.3485018699706602
ANN;Zakharov;2;64;3;2916365.684375;2231926.3608847423;491.55613098144534;174.5380468745849;4.444017791748047;0.7078872126780639
ANN;Zakharov;2;256;4;226727.7609375;266859.4358518747;169.6097957611084;33.25691157041944;9.688486051559448;0.48701229908071175
ANN;Zakharov;2;1024;5;85119.094921875;31765.07412033241;161.78047256469728;49.95558525516904;13.096452903747558;0.49453973232171117
PF;Zakharov;2;4;1;312852763.49733347;748722048.5438482;8360.91133630752;6762.42433284527;0.0019352078437805177;0.0004777704539290799
PF;Zakharov;2;16;2;54583495.10702032;61582787.29233097;3102.7838974352394;1240.4100400698592;0.0019977450370788573;0.000552923153533898
PF;Zakharov;2;64;3;10141664.231465412;2781935.184439373;1914.5968819615105;149.3176013548511;0.00233004093170166;0.0008212205040363872
PF;Zakharov;2;256;4;7291175.987568337;1178771.7932620088;1876.4761619603341;59.92063985376275;0.0021581411361694335;0.00013788356582806048
PF;Zakharov;2;1024;5;6787711.17246006;158976.3708437054;1849.5606832904189;34.042486494409296;0.002512812614440918;0.0003417502383350073
SESM;Zakharov;2;4;1;85831210.6;37655541.144780934;5510.4705078125;2272.212963383632;42.31544873714447;1.830056135378742
SESM;Zakharov;2;16;2;28474814.0;14433620.850687481;2312.8129272460938;490.039545494487;42.01544700860977;1.706044221687951
SESM;Zakharov;2;64;3;2544252.60234375;2198574.249109669;332.8802658081055;150.39674050516925;42.92003128528595;1.0647460269729672
SESM;Zakharov;2;256;4;172004.26762695314;268651.4000645493;56.52479200363159;28.32933972703157;42.867107129096986;1.442892486036293
SESM;Zakharov;2;1024;5;19041.87861328125;14447.668504166459;26.51282720565796;4.6973303464926355;41.746499145030974;2.649206898621236
SVR;Zakharov;2;4;1;86360370.28814615;53084892.49368166;5315.422142119462;3097.363797674076;0.001006770133972168;0.00017675373415795059
SVR;Zakharov;2;16;2;68637157.98241968;4327936.51553062;4047.722737668624;88.7905700440346;0.0009547948837280273;5.808079669796831e-05
SVR;Zakharov;2;64;3;65729708.64073219;2332253.733439226;3857.234731481595;48.38246987162244;0.0010792732238769532;9.074129684571936e-05
SVR;Zakharov;2;256;4;56064883.12425059;1956121.4417247104;3412.2190689194094;47.24890278464361;0.003001129627227783;0.00022126049912666896
SVR;Zakharov;2;1024;5;39582837.02532005;1491600.9428511104;2613.4383686537435;45.74287170799886;0.02338070869445801;0.0008572341904754706
ANN;Zakharov;3;8;1;5955489100.8;1618021240.6093285;39790.5251953125;12095.465918036256;1.122048258781433;0.28913732841482787
