Model,Function,Dim,Run,N_samples,MSE,MAE,TIME
PF,Styblinski_Tang,1,6,16,717.0158563149745,21.9610116508293,0.00128936767578125
PF,Styblinski_Tang,1,7,16,5118.212845310201,34.676693095467314,0.0013663768768310547
PF,Styblinski_Tang,1,8,16,3320.497583967719,30.409947458557006,0.0013208389282226562
PF,Styblinski_Tang,1,9,16,976.6620066262935,24.47277572164621,0.0013399124145507812
PF,Styblinski_Tang,1,10,16,2240.9686315747986,26.186808309883727,0.0013377666473388672
PF,Styblinski_Tang,1,11,16,6230.990364568577,38.33613223455094,0.0013773441314697266
PF,Styblinski_Tang,1,12,16,2393.600871150903,26.857575021742615,0.001355886459350586
PF,Styblinski_Tang,1,13,16,8665.753858743612,44.046913091292794,0.0013849735260009766
PF,Styblinski_Tang,1,14,16,691.7518317104824,22.6682375960017,0.0013344287872314453
PF,Styblinski_Tang,1,15,16,1102.6060096419546,23.111935458583908,0.0014214515686035156
PF,Styblinski_Tang,1,16,16,6548.097818248065,38.0833116444974,0.0012938976287841797
PF,Styblinski_Tang,1,17,16,726.5373256760109,23.530933373913932,0.0013315677642822266
PF,Styblinski_Tang,1,18,16,5070.041155673667,35.36187768554041,0.0013599395751953125
PF,Styblinski_Tang,1,19,16,796.0973209301062,21.841776056419313,0.0013630390167236328
PF,Styblinski_Tang,1,20,16,729.7014825708169,23.49199817726859,0.0013370513916015625
PF,Styblinski_Tang,1,1,32,777.344260129749,21.46281477316743,0.001325368881225586
PF,Styblinski_Tang,1,2,32,801.2101447288015,23.37009942006335,0.0012660026550292969
PF,Styblinski_Tang,1,3,32,722.3809601105135,22.153405559464435,0.0013725757598876953
PF,Styblinski_Tang,1,4,32,836.8063805178282,22.762392393934565,0.0013537406921386719
PF,Styblinski_Tang,1,5,32,678.2686715195217,22.590556231178812,0.0013265609741210938
PF,Styblinski_Tang,1,6,32,699.100866484607,22.677371062196922,0.001371622085571289
PF,Styblinski_Tang,1,7,32,863.8662584663412,21.362662573903627,0.0014178752899169922
PF,Styblinski_Tang,1,8,32,1152.2534434316547,21.971582289408914,0.0013325214385986328
PF,Styblinski_Tang,1,9,32,981.864472972753,22.57439398107173,0.001287698745727539
PF,Styblinski_Tang,1,10,32,1182.755754185035,22.651763542636083,0.0013194084167480469
PF,Styblinski_Tang,1,11,32,745.9210511836571,23.445995052167248,0.0013341903686523438
PF,Styblinski_Tang,1,12,32,1148.9633019889764,22.255465699952694,0.0013470649719238281
PF,Styblinski_Tang,1,13,32,1038.6910205089723,21.875229281074915,0.00127410888671875
PF,Styblinski_Tang,1,14,32,666.3417345911666,22.54522033264236,0.001398324966430664
PF,Styblinski_Tang,1,15,32,688.663825926998,22.55575854578839,0.0012748241424560547
PF,Styblinski_Tang,1,16,32,730.5930868533925,22.602088907054284,0.0013394355773925781
